time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404232179.47000	        0.40000	        0.00000	        2.07000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.47000	       10.00000	        1.80000	        2.00000	        3.74000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.01000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
1404232179.49000	        0.40000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.56000	       10.00000	        1.80000	        2.00000	        3.74000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.01000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
1404232179.51000	        0.40000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.47000	       10.00000	        1.80000	        2.00000	        3.74000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.01000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
1404232179.53000	        0.31000	        0.00000	        1.98000	        2.00000	        0.13000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.47000	       10.00000	        1.80000	        2.00000	        3.65000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.01000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
1404232179.55000	        0.40000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.47000	       10.00000	        1.80000	        2.00000	        3.74000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.01000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
1404232179.57000	        0.31000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.47000	       10.00000	        1.80000	        2.00000	        3.74000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.01000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
1404232179.59000	        0.40000	        0.00000	        2.07000	        2.00000	        0.13000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.47000	       10.00000	        1.80000	        2.00000	        3.74000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.01000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
1404232179.61000	        0.31000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.56000	       10.00000	        1.80000	        2.00000	        3.74000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.01000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
1404232179.64000	        0.31000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.56000	       10.00000	        1.80000	        2.00000	        3.65000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.01000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.57000	        0.00000	        1.14000	        0.00000
1404232179.66000	        0.40000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.56000	       10.00000	        1.80000	        2.00000	        3.65000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.01000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.57000	        0.00000	        1.14000	        0.00000
1404232179.68000	        0.31000	        0.00000	        1.98000	        2.00000	        0.13000	        0.00000	       -0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.47000	       10.00000	        1.80000	        2.00000	        3.74000	        4.00000	       -0.66000	        0.00000	        2.02000	        0.00000	       -9.01000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
1404232179.70000	        0.31000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.56000	       10.00000	        1.80000	        2.00000	        3.74000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.10000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.05000	        0.00000
1404232179.72000	        0.40000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.47000	       10.00000	        1.80000	        2.00000	        3.74000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.10000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
1404232179.74000	        0.40000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.47000	       10.00000	        1.80000	        2.00000	        3.74000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.10000	      -10.00000	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
1404232179.76000	        0.40000	        0.00000	        1.98000	        0.08711	        0.04000	        0.00000	        0.04000	        0.00000	        0.04000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        9.56000	        9.35096	        1.80000	        2.00000	        3.65000	        4.00000	       -0.66000	        0.00000	        2.11000	        0.00000	       -9.01000	       -9.12901	       -2.07000	       -2.00000	        3.82000	        4.00000	       -0.66000	        0.00000	        1.14000	        0.00000
