time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404316946.20000	       -0.04000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	        0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.00000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	        0.48000	        1.71000	        0.26000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.47000	        4.00000	       -1.10000	       -0.04000	        0.26000	       -1.00000	       -6.90000	       -7.00000
1404316946.22000	       -0.04000	        0.00000	        2.07000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	       -9.96000	      -10.00000	        0.04000	       -0.04000	      -20.00000	      -20.00000	       10.00000	       10.00000	        2.15000	        2.00000	        3.56000	        4.00000	        0.48000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.47000	        4.00000	       -1.10000	       -0.04000	        0.26000	       -1.00000	       -6.90000	       -7.00000
1404316946.24000	       -0.04000	        0.00000	        2.07000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	       -9.96000	      -10.00000	        0.04000	       -0.04000	      -20.00000	      -20.00000	       10.09000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	        0.48000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.47000	        4.00000	       -1.10000	       -0.04000	        0.26000	       -1.00000	       -6.90000	       -7.00000
1404316946.26000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.15000	        2.00000	        3.56000	        4.00000	        0.40000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.47000	        4.00000	       -1.10000	       -0.04000	        0.26000	       -1.00000	       -6.90000	       -7.00000
1404316946.28000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.04000	        0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	        0.48000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	      -10.07000	      -10.00000	       -2.33000	       -2.00000	        3.47000	        4.00000	       -1.10000	       -0.04000	        0.35000	       -1.00000	       -6.90000	       -7.00000
1404316946.30000	        0.04000	        0.00000	        2.07000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.15000	        2.00000	        3.56000	        4.00000	        0.48000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.47000	        4.00000	       -1.10000	       -0.04000	        0.26000	       -1.00000	       -6.90000	       -7.00000
1404316946.32000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.04000	        0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.15000	        2.00000	        3.56000	        4.00000	        0.48000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.47000	        4.00000	       -1.10000	       -0.04000	        0.35000	       -1.00000	       -6.90000	       -7.00000
1404316946.34000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.04000	        0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	        0.40000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.47000	        4.00000	       -1.10000	       -0.04000	        0.26000	       -1.00000	       -6.90000	       -7.00000
1404316946.36000	        0.13000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	        0.04000	       -0.04000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.15000	        2.00000	        3.56000	        4.00000	        0.48000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.56000	        4.00000	       -1.10000	       -0.04000	        0.26000	       -1.00000	       -6.90000	       -7.00000
1404316946.38000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.00000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	        0.48000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.47000	        4.00000	       -1.10000	       -0.04000	        0.35000	       -1.00000	       -6.90000	       -7.00000
1404316946.40000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.00000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	        0.40000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.56000	        4.00000	       -1.10000	       -0.04000	        0.35000	       -1.00000	       -6.90000	       -7.00000
1404316946.42000	        0.13000	        0.00000	        1.98000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.09000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	        0.48000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.47000	        4.00000	       -1.10000	       -0.04000	        0.26000	       -1.00000	       -6.90000	       -7.00000
1404316946.45000	        0.04000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.00000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	        0.48000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.56000	        4.00000	       -1.10000	       -0.04000	        0.26000	       -1.00000	       -6.90000	       -7.00000
1404316946.47000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.09000	       10.00000	        2.15000	        2.00000	        3.56000	        4.00000	        0.48000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.56000	        4.00000	       -1.10000	       -0.04000	        0.35000	       -1.00000	       -6.90000	       -7.00000
1404316946.49000	        0.13000	        0.00000	        1.98000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.09000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	        0.40000	        1.71000	        0.35000	       -1.00000	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	       -1.10000	       -0.04000	        0.35000	       -1.00000	       -6.90000	       -7.00000
1404316946.51000	        0.04000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.00000	       10.00000	        2.15000	        2.00000	        3.56000	       -0.13669	        0.40000	        0.27058	        0.35000	       -0.86610	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	       -1.10000	       -0.04000	        0.35000	       -1.00000	       -6.90000	       -7.00000
1404316946.53000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.00000	       10.00000	        2.15000	        2.00000	        3.65000	       -3.49967	        0.48000	        6.92783	        0.35000	        2.42816	       -6.99000	       -7.00000	       -9.98000	      -10.00000	       -2.33000	       -2.00000	        3.65000	        4.00000	       -1.10000	       -0.04000	        0.35000	       -1.00000	       -6.90000	       -7.00000
